task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
107	a1/bd5bb6	39449	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SRR13500958)	CACHED	0	2025-10-08 16:28:38.055	2.1s	1s	184.9%	28.7 MB	1.5 GB	10.5 MB	11.9 KB
104	95/8c4ba7	38999	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5556343)	CACHED	0	2025-10-08 16:26:56.687	1m 18s	2s	121.9%	40.8 MB	1.5 GB	10.5 MB	13.5 KB
105	bd/e5b722	39052	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5405022)	CACHED	0	2025-10-08 16:28:14.400	3.6s	2s	163.8%	30.2 MB	1.5 GB	10.5 MB	13.6 KB
108	08/9619b6	38920	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5743893)	CACHED	0	2025-10-08 16:26:39.642	1m 35s	2s	123.0%	33.7 MB	1.5 GB	10.5 MB	12.6 KB
109	24/0efc58	40082	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5181310)	CACHED	0	2025-10-08 16:29:29.288	1.1s	1s	363.4%	6.1 MB	286 MB	104.8 KB	5.7 KB
112	57/2652a7	40055	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (SRR13500958)	CACHED	0	2025-10-08 16:29:28.217	1.1s	0ms	247.1%	6.3 MB	286 MB	102.1 KB	4.3 KB
113	51/576e75	40001	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5743893)	CACHED	0	2025-10-08 16:29:26.349	925ms	0ms	217.1%	6.4 MB	286 MB	103.4 KB	4.9 KB
111	a2/809616	40028	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5405022)	CACHED	0	2025-10-08 16:29:27.285	924ms	0ms	193.8%	6.4 MB	286 MB	105.1 KB	5.8 KB
110	ec/ee291f	39957	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5556343)	CACHED	0	2025-10-08 16:29:09.176	17.1s	0ms	195.7%	6.4 MB	286 MB	104.9 KB	5.6 KB
116	10/ad8759	40812	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5181310)	CACHED	0	2025-10-08 16:32:06.440	876ms	1s	234.4%	6.4 MB	286 MB	98.6 KB	2 KB
118	1b/acc911	40595	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5743893)	CACHED	0	2025-10-08 16:31:37.837	919ms	0ms	240.0%	6.4 MB	286 MB	98.1 KB	1.7 KB
119	c8/dca73d	40248	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	CACHED	0	2025-10-08 16:31:01.808	14.2s	0ms	101.8%	6.7 MB	286.1 MB	84.7 KB	3.1 KB
125	7c/865108	40312	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	CACHED	0	2025-10-08 16:31:16.028	1.1s	0ms	97.7%	6.5 MB	286.1 MB	84.7 KB	3.1 KB
124	15/94e074	40622	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5405022)	CACHED	0	2025-10-08 16:31:38.772	913ms	0ms	231.6%	6.4 MB	286 MB	98.4 KB	1.9 KB
128	86/d159b5	40686	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (SRR13500958)	CACHED	0	2025-10-08 16:31:47.463	916ms	1s	237.4%	6.4 MB	286 MB	97.9 KB	1.6 KB
126	e2/525571	40318	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	CACHED	0	2025-10-08 16:31:16.040	1.1s	0ms	94.9%	6.5 MB	286.1 MB	84.5 KB	3.1 KB
120	8a/96f62e	40221	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5556343)	CACHED	0	2025-10-08 16:31:00.739	1.1s	0ms	266.7%	6.4 MB	286 MB	98.3 KB	1.8 KB
114	66/85b321	40364	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	CACHED	0	2025-10-08 16:31:17.162	1.1s	0ms	97.4%	6.5 MB	286.1 MB	84.8 KB	3.1 KB
117	34/7a4630	40256	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	CACHED	0	2025-10-08 16:31:01.821	14.2s	0ms	94.7%	6.4 MB	286.1 MB	84.6 KB	3.1 KB
129	c0/cc9ab9	41320	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5181310)	CACHED	0	2025-10-08 16:32:30.183	841ms	0ms	111.5%	6.3 MB	286.1 MB	84.9 KB	3.1 KB
133	30/e934a8	40380	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5556343)	CACHED	0	2025-10-08 16:31:17.182	1.1s	0ms	103.6%	6.5 MB	286.1 MB	84.8 KB	3.1 KB
135	37/b8409f	40435	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	CACHED	0	2025-10-08 16:31:18.284	937ms	0ms	211.9%	6.5 MB	286 MB	98 KB	3.7 KB
139	31/1b9354	40993	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5181310)	CACHED	0	2025-10-08 16:32:17.336	906ms	0ms	240.3%	6.4 MB	286 MB	98.6 KB	2.2 KB
140	f7/781bbc	40879	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5743893)	CACHED	0	2025-10-08 16:32:13.602	928ms	0ms	212.6%	6.5 MB	286 MB	98.1 KB	1.8 KB
132	bb/87c17a	40471	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	CACHED	0	2025-10-08 16:31:19.230	892ms	0ms	224.6%	6.4 MB	286 MB	98.2 KB	3.7 KB
138	5a/1f370e	40908	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5556343)	CACHED	0	2025-10-08 16:32:14.541	921ms	1s	250.4%	6.4 MB	286 MB	98.3 KB	2.1 KB
134	a9/952cb8	40559	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5181310)	CACHED	0	2025-10-08 16:31:22.101	904ms	0ms	194.1%	6.4 MB	286 MB	98.6 KB	3.4 KB
131	d5/76afad	41028	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5743893)	CACHED	0	2025-10-08 16:32:18.259	862ms	0ms	116.4%	6.5 MB	286.1 MB	84.7 KB	3.1 KB
142	54/d5ddaa	41184	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (SRR13500958)	CACHED	0	2025-10-08 16:32:24.738	855ms	0ms	111.5%	6.7 MB	286.1 MB	84.6 KB	3.1 KB
145	01/5449be	40964	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (SRR13500958)	CACHED	0	2025-10-08 16:32:16.411	915ms	1s	250.2%	6.4 MB	286 MB	97.9 KB	1.6 KB
147	a6/2be3b0	40937	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5405022)	CACHED	0	2025-10-08 16:32:15.473	926ms	1s	252.3%	6.3 MB	286 MB	98.4 KB	2.1 KB
143	db/21d662	41069	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5405022)	CACHED	0	2025-10-08 16:32:19.130	838ms	0ms	115.7%	6.4 MB	286.1 MB	84.8 KB	3.1 KB
144	a7/98ac9c	40530	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (SRR13500958)	CACHED	0	2025-10-08 16:31:21.168	925ms	0ms	212.6%	6.4 MB	286 MB	97.9 KB	3.5 KB
148	1f/4d2415	40501	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	CACHED	0	2025-10-08 16:31:20.133	1s	0ms	214.8%	6.2 MB	286 MB	98.3 KB	3.8 KB
130	b2/6c75ab	41347	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5181310)	CACHED	0	2025-10-08 16:32:31.030	15.5s	15s	119.9%	55.2 MB	1.1 GB	560.1 MB	526.6 MB
146	9b/21449e	41094	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5405022)	CACHED	0	2025-10-08 16:32:19.976	1.9s	1s	142.8%	25.4 MB	1.1 GB	61.4 MB	53.1 MB
121	28/cfc108	40713	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5743893)	CACHED	0	2025-10-08 16:31:48.390	6s	5s	90.8%	219.2 MB	16.1 GB	19.4 MB	146.5 KB
123	29/0735f0	40746	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5405022)	CACHED	0	2025-10-08 16:31:54.490	6s	6s	93.6%	208.6 MB	16.1 GB	19.4 MB	206.5 KB
141	68/1e9a26	41210	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SRR13500958)	CACHED	0	2025-10-08 16:32:25.660	1.9s	1s	144.3%	24.7 MB	1.1 GB	57.1 MB	51.2 MB
136	9a/45678d	41126	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5743893)	CACHED	0	2025-10-08 16:32:21.874	2s	1s	140.7%	25 MB	1.1 GB	73.3 MB	68 MB
137	a9/56eefb	40418	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5556343)	CACHED	0	2025-10-08 16:31:18.258	19.6s	2s	133.7%	28 MB	1.1 GB	114.7 MB	106.7 MB
122	92/07989c	40649	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5556343)	CACHED	0	2025-10-08 16:31:39.696	7.8s	7s	66.3%	199.1 MB	16.1 GB	19.4 MB	168.3 KB
115	8e/63b508	40839	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5181310)	CACHED	0	2025-10-08 16:32:07.327	6.3s	6s	103.0%	195.6 MB	16.1 GB	19.4 MB	178.1 KB
127	70/1284d4	40779	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (SRR13500958)	CACHED	0	2025-10-08 16:32:00.512	5.9s	5s	88.5%	210.9 MB	16.1 GB	19.4 MB	106.2 KB
152	2e/fadb80	41502	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (SRR13500958)	CACHED	0	2025-10-08 16:34:26.608	1.7s	1s	114.3%	8.1 MB	293.6 MB	67.9 KB	425 B
149	fa/44dd21	41614	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5181310)	CACHED	0	2025-10-08 16:34:29.398	1.9s	0ms	101.6%	7.9 MB	293.6 MB	79.3 KB	446 B
155	c6/8ff732	41405	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5405022)	CACHED	0	2025-10-08 16:32:47.475	1m 38s	0ms	100.4%	8 MB	293.6 MB	84.1 KB	494 B
157	12/e1f683	41022	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5556343)	CACHED	0	2025-10-08 16:32:18.251	2m 7s	0ms	97.7%	8 MB	293.6 MB	84.5 KB	489 B
150	0e/666dfa	41457	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5743893)	CACHED	0	2025-10-08 16:34:25.372	2.1s	1s	102.0%	7.9 MB	293.6 MB	84.1 KB	483 B
154	30/6a4469	41241	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5743893)	CACHED	0	2025-10-08 16:32:27.566	869ms	1s	115.0%	6.4 MB	286.1 MB	108.1 KB	6.5 KB
153	68/ecec9d	41268	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5405022)	CACHED	0	2025-10-08 16:32:28.441	853ms	0ms	109.5%	6.4 MB	286.1 MB	112.8 KB	7.3 KB
156	32/b5ab7b	41157	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5556343)	CACHED	0	2025-10-08 16:32:23.885	840ms	0ms	113.6%	6.6 MB	286.1 MB	111.9 KB	7.1 KB
151	4b/c949fa	41378	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5181310)	CACHED	0	2025-10-08 16:32:46.560	909ms	1s	114.3%	6.4 MB	286.1 MB	113.8 KB	7.5 KB
158	87/3fb0bc	41293	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SRR13500958)	CACHED	0	2025-10-08 16:32:29.299	880ms	0ms	112.3%	6.4 MB	286.1 MB	100.5 KB	5.8 KB
165	0e/fdccbf	41529	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	CACHED	0	2025-10-08 16:34:27.451	1.3s	0ms	117.6%	6.5 MB	286.1 MB	87.3 KB	3.2 KB
166	e7/1d55e6	41641	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	CACHED	0	2025-10-08 16:34:29.755	964ms	0ms	114.3%	6.5 MB	286.1 MB	88.2 KB	3.2 KB
169	c8/4a6f15	41559	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	CACHED	0	2025-10-08 16:34:28.343	1s	0ms	109.9%	6.5 MB	286.1 MB	88 KB	3.2 KB
168	7f/a62a4e	41963	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5405022)	CACHED	0	2025-10-08 16:40:58.203	3.5s	3s	128.4%	45.7 MB	2 GB	16 MB	34.5 KB
167	6a/45cb03	42018	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5181310)	CACHED	0	2025-10-08 16:41:05.009	3.2s	2s	139.1%	40.4 MB	1.7 GB	16 MB	36.8 KB
171	63/40efdf	41991	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (SRR13500958)	CACHED	0	2025-10-08 16:41:01.671	3.3s	2s	135.2%	40.5 MB	1.7 GB	16 MB	19.4 KB
164	b2/29c0ba	41933	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5743893)	CACHED	0	2025-10-08 16:40:54.377	3.8s	2s	132.8%	40.3 MB	1.7 GB	16 MB	29.3 KB
172	85/de626c	41463	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	CACHED	0	2025-10-08 16:34:25.384	1.2s	0ms	97.9%	6.5 MB	286.1 MB	87.8 KB	3.2 KB
170	8f/47f17d	41586	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	CACHED	0	2025-10-08 16:34:28.731	1s	0ms	106.4%	6.3 MB	286.1 MB	86.6 KB	3.2 KB
173	51/9296f5	41851	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPSIFT_EXTRACTFIELDS (ERR5556343)	CACHED	0	2025-10-08 16:34:35.504	6m 19s	3s	140.3%	23.6 MB	578.9 MB	16 MB	33.5 KB
174	70/766bcc	41697	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	CACHED	0	2025-10-08 16:34:31.284	1.2s	1s	212.7%	6.3 MB	286 MB	103.3 KB	3.8 KB
175	a6/0822f8	41725	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	CACHED	0	2025-10-08 16:34:31.891	1.1s	0ms	229.0%	6.3 MB	286 MB	104.5 KB	4 KB
